Index,FITS,Macro,Type,FROM_ROW,TO_ROW,Roi_Range,User,Date
1,C,//ORIGIN=/home/madcubapy/data/MAD_CUB_member.uid___A001_X133d_X320d.IRAS_16293-2422_sci.spw29.cube.I.pbcor.fits,0,,,,0,0
2,C,"//INFO: Import CASA FITS FILE, ESTIMATED_SIGMA=0.005020903444186465",madcu,,,,madcubapy,2022-10-14T14:39:05.876
3,C,"run(""Import CASA FITS FILE"",""select='/home/madcubapy/data/member.uid___A001_X133d_X320d.IRAS_16293-2422_sci.spw29.cube.I.pbcor.fits' changehead='Vrad$2.5$km/s'"");",madcu,,,,madcubapy,2022-10-14T14:39:05.876
4,C,"run(""Open Virtual Cube"",""select='/home/madcubapy/data/MAD_CUB_member.uid___A001_X133d_X320d.IRAS_16293-2422_sci.spw29.cube.I.pbcor.fits' "");",madcu,,,,madcubapy,2023-05-02T13:12:32.467
5,C,//ORIGIN=CUBE MAD_CUB_member.uid___A001_X133d_X320d.IRAS_16293-2422_sci.spw29.cube.I.pbcor.fits,0,,,,0,0
6,C,"//selectWindow(""CUBE MAD_CUB_member.uid___A001_X133d_X320d.IRAS_16293-2422_sci.spw29.cube.I.pbcor.fits"");",0,,,,0,0
7,C,"run(""INTEGRATED INTENSITY PLUGIN"",""ranges=500.0$5500.0$# axisunit=m s-1 interpolate=0"");",madcu,,,,madcubapy,2023-05-02T13:12:34.442
8,C,"run(""Save Cube"",""select='/home/madcubapy/data/IRAS16293_SO_2-1_moment0_madcuba.fits'"");",madcu,,,,madcubapy,2023-05-02T13:12:47.239
9,C,//PYTHON: Open cube: 'examples/data/IRAS16293_SO_2-1_moment0_madcuba.fits',Py,,,,david,2025-05-05T10:56:51.681
10,C,//PYTHON: Save cube: 'examples/data/IRAS16293_SO_2-1_moment0_madcuba_write.fits',Py,,,,david,2025-05-05T10:56:51.695
